game;id;userscore;userscore_count;release_date
THE KING OF FIGHTERS 2002 UNLIMITED MATCH;222440;94;3925;2015.02.27
THE KING OF FIGHTERS XIII STEAM EDITION;222940;89;10510;2013.09.13
THE KING OF FIGHTERS XIV STEAM EDITION;571260;82;3222;2017.06.15
THE KING OF FIGHTERS XV;1498570;83;7749;2024.12.12
The Lab;450390;94;6426;2016.04.05
THE LAST BLADE;465840;78;150;2016.08.31
THE LAST BLADE 2;702110;91;323;2017.11.17
The Murder of Sonic the Hedgehog;2324650;97;23892;2023.03.31
The Pegasus Expedition;1521070;69;217;2023.06.20
The Witcher 2: Assassins of Kings Enhanced Edition;20920;89;77372;2011.05.17
The Witcher 3: Wild Hunt;292030;96;772800;2015.05.18
The Witcher: Enhanced Edition Director's Cut;20900;89;57407;2008.09.16
Thronebreaker: The Witcher Tales;973760;89;14788;2018.11.09
Tiny Tina's Wonderlands;1286680;70;16682;2022.06.23
Tomb Raider;203160;96;157890;2013.03.04
Tomb Raider I (1996);224960;85;3961;2012.11.28
Tomb Raider II (1997);225300;86;1991;2012.11.28
Tomb Raider III (1998);225320;84;1287;2012.11.28
Tomb Raider IV: The Last Revelation (1999);224980;85;1248;2012.11.28
Tomb Raider V: Chronicles (2000);225000;73;765;2012.11.28
Tomb Raider VI: The Angel of Darkness (2003);225020;60;1418;2012.11.28
Tomb Raider: Anniversary;8000;81;6061;2007.06.05
Tomb Raider: Legend;7000;87;4818;2006.04.07
Tomb Raider: Underworld;8140;76;5593;2008.11.21
Total War: PHARAOH;1937780;64;3415;2023.10.11
Total War: PHARAOH DYNASTIES;2951630;80;3700;2024.07.25
Total War: WARHAMMER III;1142710;73;85822;2022.02.16
Train Station Simulator;738610;55;230;2017.12.14
Train Valley 2;602320;91;2142;2019.04.15
Transport Fever 2;1066780;90;23018;2019.12.11
Transport Giant;271370;60;417;2004.06.08
Trepang2;1164940;93;12043;2023.06.21
Trine 2: Complete Story;35720;95;15037;2013.06.06
Trine 3: The Artifacts of Power;319910;63;7058;2015.08.20
Trine 4: The Nightmare Prince;690640;89;11131;2019.10.08
Trine Enchanted Edition;35700;95;12419;2009.07.02
Troublemaker;1498740;90;831;2023.03.31
TWINKLE STAR SPRITES;366280;75;183;2016.05.26
ULTIMATE MARVEL VS. CAPCOM 3;357190;91;5910;2017.03.06
Ultra Street Fighter® IV;45760;91;10293;2014.08.07
UNCHARTED™: Legacy of Thieves Collection;1659420;90;20215;2022.10.19
Venus Vacation PRISM - DEAD OR ALIVE Xtreme -;3155730;;;
Viscera Cleanup Detail: Shadow Warrior;255520;80;2314;2013.10.11
"Warhammer 40;000: Battlesector";1295500;88;4422;2021.07.22
Who Pressed Mute on Uncle Marcus?;1628130;72;608;2022.03.18
X-Blades;7510;59;1014;2009.02.10
Yakuza: Like a Dragon;1235140;94;25361;2020.11.10
Yoku's Island Express;334940;96;2894;2018.05.29
Yooka-Laylee;360830;78;2818;2017.04.11
Yooka-Laylee and the Impossible Lair;846870;85;774;2019.10.08
Zoeti;1434540;79;78;2023.04.20
